gene,score,logfoldchange,pval,pval_adj,comparison,direction
BBC3,24.845547,1.6590753,2.888893912708991e-136,8.666681738126974e-133,deep_valley_vs_other_EOC,up_in_group_1
EEF1D,-24.214317,-1.0500667,1.5721941208454915e-129,2.3582911812682366e-126,deep_valley_vs_other_EOC,down_in_group_1
ANXA2,-23.811457,-1.0542097,2.541381723397817e-125,2.5413817233978165e-122,deep_valley_vs_other_EOC,down_in_group_1
VPS28,-22.703794,-1.300509,4.109443341505157e-114,3.0820825061288687e-111,deep_valley_vs_other_EOC,down_in_group_1
ATP6V0E1,-21.22309,-1.0603383,5.845431239076022e-100,3.5072587434456134e-97,deep_valley_vs_other_EOC,down_in_group_1
SOD2,21.12336,1.6491303,4.85181263664879e-99,2.425906318324395e-96,deep_valley_vs_other_EOC,up_in_group_1
ATP6V1G1,-20.75512,-0.8903802,1.1020728242094422e-95,4.723169246611895e-93,deep_valley_vs_other_EOC,down_in_group_1
EIF3E,-20.225515,-0.9105824,5.837751046028955e-91,2.189156642260858e-88,deep_valley_vs_other_EOC,down_in_group_1
OCIAD2,-20.09881,-1.1596174,7.558547928583233e-90,2.519515976194411e-87,deep_valley_vs_other_EOC,down_in_group_1
ZC3H12A,20.030931,1.0333138,2.960716339744035e-89,8.882149019232103e-87,deep_valley_vs_other_EOC,up_in_group_1
WFDC2,19.994972,1.1401742,6.091261941106552e-89,1.6612532566654232e-86,deep_valley_vs_other_EOC,up_in_group_1
FTL,19.818195,1.0622073,2.0741720688561404e-87,5.18543017214035e-85,deep_valley_vs_other_EOC,up_in_group_1
S100A4,-19.804415,-1.9308584,2.727164868094726e-87,6.293457387910907e-85,deep_valley_vs_other_EOC,down_in_group_1
H19,-19.520382,-2.8178315,7.368428670408299e-85,1.5789490008017783e-82,deep_valley_vs_other_EOC,down_in_group_1
CMTM7,-19.501282,-1.6638827,1.070641730848553e-84,2.141283461697106e-82,deep_valley_vs_other_EOC,down_in_group_1
CEBPD,19.388954,1.0494576,9.566341637236537e-84,1.7936890569818502e-81,deep_valley_vs_other_EOC,up_in_group_1
SERPINB6,-19.235252,-1.8982861,1.8762894361426624e-82,3.3110990049576395e-80,deep_valley_vs_other_EOC,down_in_group_1
IRF1,19.18543,1.1488075,4.898586026381051e-82,8.164310043968419e-80,deep_valley_vs_other_EOC,up_in_group_1
TATDN1,-19.120756,-1.1971856,1.696297847695351e-81,2.67836502267687e-79,deep_valley_vs_other_EOC,down_in_group_1
NDUFB9,-18.890615,-0.8213217,1.3624778596364835e-79,2.043716789454725e-77,deep_valley_vs_other_EOC,down_in_group_1
IRF2BP2,18.80231,0.8565437,7.229602013749694e-79,1.0328002876785276e-76,deep_valley_vs_other_EOC,up_in_group_1
CDKN2A,18.728704,1.2712071,2.888579924185121e-78,3.9389726238888016e-76,deep_valley_vs_other_EOC,up_in_group_1
S100A13,-18.632812,-0.75834465,1.7412613239289656e-77,2.2712104225160424e-75,deep_valley_vs_other_EOC,down_in_group_1
IFI27,18.23021,1.4295852,2.9717867881737136e-74,3.7147334852171417e-72,deep_valley_vs_other_EOC,up_in_group_1
CXXC5,-17.532684,-1.0699772,8.067054954661812e-69,9.680465945594177e-67,deep_valley_vs_other_EOC,down_in_group_1
S100A16,-17.52092,-0.90062916,9.92091344200538e-69,1.1447207817698516e-66,deep_valley_vs_other_EOC,down_in_group_1
WNT7A,-17.401455,-1.8877239,8.043302074280008e-68,8.937002304755564e-66,deep_valley_vs_other_EOC,down_in_group_1
QPRT,-17.046185,-1.3208382,3.731031796549746e-65,3.9975340677318696e-63,deep_valley_vs_other_EOC,down_in_group_1
TNFAIP2,17.035244,1.2658242,4.498628156602316e-65,4.653753265450672e-63,deep_valley_vs_other_EOC,up_in_group_1
CXCL3,17.0226,1.3974614,5.583503766460237e-65,5.583503766460237e-63,deep_valley_vs_other_EOC,up_in_group_1
CMTM6,-16.829504,-1.1263927,1.483381094577442e-63,1.4355300915265569e-61,deep_valley_vs_other_EOC,down_in_group_1
MFGE8,-16.795023,-1.0743798,2.654057341100703e-63,2.488178757281909e-61,deep_valley_vs_other_EOC,down_in_group_1
