parent,formal_parent,cell.type,n,mean_potential_stationary,median_potential_stationary,mean_potential,mean_potential_relative_type,median_potential_relative_type,mean_local_density,density_vs_parent_median,mean_plasticity,pc1,pc2,umap1,umap2,role,temporal_inverted_U,transient_score,peak_stage,field_ranking,field_geometry,well_well_path_occupancy,intermediate_call
alv_epithelium,Alveolar epithelium,AT2 cells,2711,-0.4676605682230576,-0.4676703214645386,-0.3316552528526808,-0.2536207314273133,-0.2821175166597744,86.26540824552202,1.2727104715429056,0.5260579132736075,0.2232624794427506,0.09609658860343166,15.633854186640377,15.945873246432054,well,False,1.2505267800826287,D0,potential_relative_type,potential_stationary scaled as potential_relative_type,0.8275862068965517,False
alv_epithelium,Alveolar epithelium,AT1 cells,38,-0.4676148765965512,-0.467612624168396,-0.33159825519511577,-0.1201200414241451,-0.1135389512793458,29.994473123056302,0.4425212933958102,0.5404813403189586,-0.30241526153264175,0.2237097136345557,11.805070114135741,11.238458728790283,underpowered_well,True,5.570872816781878,D14,potential_relative_type,potential_stationary scaled as potential_relative_type,0.06896551724137931,False
alv_epithelium,Alveolar epithelium,Activated AT2 cells,788,-0.4674333585851689,-0.46744078397750854,-0.3316211699683049,0.4102348971144587,0.3885395652410836,55.25678292804215,0.8152269569760376,0.5954211914891556,-0.10410530747771456,0.05171688313393132,14.713839293736491,14.036453871557555,high_U_slope,True,7.432292280913851,D7,potential_relative_type,potential_stationary scaled as potential_relative_type,0.034482758620689655,True
alv_epithelium,Alveolar epithelium,Krt8 ADI,700,-0.46739341182368144,-0.467401385307312,-0.3315828315275056,0.5269503793531157,0.503653647592802,39.46607968748522,0.5822599569233077,0.6091886464034635,-0.4491695271678181,0.11145948099553055,14.246861419677735,12.697589520045689,high_U_slope,True,5.4074950881299255,D10,potential_relative_type,potential_stationary scaled as potential_relative_type,0.06896551724137931,True
macrophages,Macrophages,Cd163-/Cd11c+ IMs,734,-0.46855951354354214,-0.468561053276062,-0.33378001657753614,-0.40804469981858194,-0.41173887265709236,86.67416170977637,0.9904084421939814,0.4102660146516711,0.4403272798901262,0.09186701834997778,7.098493770412777,6.7385008075962896,well,True,4.928388132353039,D7,potential_relative_type,potential_stationary scaled as potential_relative_type,0.16666666666666666,False
macrophages,Macrophages,AM (PBS),1194,-0.46855011168037425,-0.46851649880409235,-0.33376143296160293,-0.38548746530033884,-0.30484243573703085,51.43487423997458,0.5877360988045258,0.4460922891949266,0.753275424327284,0.18764705461317321,8.8243041819952,14.828917771278816,well,False,1.902941917089756,D0,potential_relative_type,potential_stationary scaled as potential_relative_type,0.4444444444444444,False
macrophages,Macrophages,Cd163+/Cd11c- IMs,480,-0.4685238576183716,-0.46853533387184143,-0.33378015166769426,-0.32249792555954976,-0.3500321000403611,85.79013952074202,0.9803068961064849,0.42766919563630446,0.31774830771324314,0.1530740535932552,5.906257931391398,7.558336567878723,well,True,3.823747525465787,D3,potential_relative_type,potential_stationary scaled as potential_relative_type,0.1111111111111111,False
macrophages,Macrophages,Fn1+ macrophages,247,-0.46849589164440447,-0.4684762358665466,-0.3337836421211721,-0.2554011148481997,-0.2082423780253231,86.84905920452191,0.9924069611516215,0.43030935011508964,0.1140645310842228,0.2069620753725759,4.984984690143216,8.564961145001073,well,True,2.055750446685402,D14,potential_relative_type,potential_stationary scaled as potential_relative_type,0.0,False
macrophages,Macrophages,Resolution macrophages,1935,-0.468366546717109,-0.468359887599945,-0.33378584501971265,0.05492714739684155,0.0709039027344895,100.71730202387015,1.1508766191873139,0.4676906344978043,0.036849230965615126,0.11157220312043453,8.706934413634055,9.19818904626468,high_U_slope,False,1.9564177820228241,D7,potential_relative_type,potential_stationary scaled as potential_relative_type,0.0,False
macrophages,Macrophages,M2 macrophages,2361,-0.4683480692182442,-0.4683399796485901,-0.3337959567402844,0.09925892161679171,0.1186676618399083,88.37257388673876,1.0098158610279946,0.47877407057162324,-0.14819782694571862,0.1761637777792358,7.132543362135007,9.521272754507823,high_U_slope,True,61.89364467003216,D10,potential_relative_type,potential_stationary scaled as potential_relative_type,0.05555555555555555,True
macrophages,Macrophages,AM (Bleo),3286,-0.4683086392506549,-0.4683065712451935,-0.33377418809015436,0.1938604926115251,0.1988221138716066,92.76983645388967,1.0600625075849304,0.4870045527126435,0.15823404252257917,0.11014764198674555,9.01678848498639,11.512506465842254,high_U_slope,False,2.3180802420414417,D21,potential_relative_type,potential_stationary scaled as potential_relative_type,0.2222222222222222,True
