parent,formal_parent,src,dst,n_src,n_dst,graph_action,delta_U_rel,delta_U0,barrier_U_rel,direction,path_n_nodes,path_frac_src,path_frac_dst,path_frac_other,src_peak_day,dst_peak_day,transfer_proxy,composition,reverse_action,action_ratio,reversible,keep,keep_reason
alv_epithelium,Alveolar epithelium,AT2 cells,Activated AT2 cells,2711,788,0.3748043293417347,0.663855628541772,0.00022720963788874782,1.1062097596038045,climb,37,0.8648648648648649,0.08108108108108109,0.054054054054054,0.0,7.0,0.3621652293185864,strong,0.3713788150672842,0.9908605263939786,True,True,mst+local_cheap
alv_epithelium,Alveolar epithelium,AT2 cells,Krt8 ADI,2711,700,0.7628471768940043,0.780571110780429,0.0002671563993761894,1.8479206169955869,climb,57,0.6666666666666666,0.17543859649122806,0.1578947368421053,0.0,10.0,0.14869608593088232,strong,0.7856225095487265,1.029855695011449,True,False,not_kept
alv_epithelium,Alveolar epithelium,AT2 cells,AT1 cells,2711,38,0.5916390268824921,0.13350069000316817,4.569162650641667e-05,0.7053132125937355,climb,29,0.8275862068965517,0.06896551724137931,0.10344827586206898,0.0,14.0,0.0017073524674525282,weak,0.6060583534578392,1.024371831334897,True,False,not_kept
alv_epithelium,Alveolar epithelium,Activated AT2 cells,AT2 cells,788,2711,0.3713788150672842,-0.663855628541772,-0.00022720963788874782,0.5917664929366699,relax,34,0.058823529411764705,0.8823529411764706,0.05882352941176472,7.0,0.0,0.05765026454606331,weak,0.3748043293417347,1.0092237740400476,True,True,mst+local_cheap
alv_epithelium,Alveolar epithelium,Activated AT2 cells,Krt8 ADI,788,700,0.39766608358765465,0.11671548223865702,3.9946761487441584e-05,1.2477948563541024,climb,23,0.6086956521739131,0.2608695652173913,0.13043478260869562,7.0,10.0,0.18604383225477714,strong,0.4198604492636857,1.0558115629946176,True,True,mst
alv_epithelium,Alveolar epithelium,Activated AT2 cells,AT1 cells,788,38,0.27168632790155967,-0.5303549385386038,-0.00018151801138233115,0.7161106000457877,relax,14,0.5,0.14285714285714285,0.35714285714285715,7.0,14.0,0.00044393040108517125,weak,0.2961525209937295,1.0900530890900946,True,False,not_kept
alv_epithelium,Alveolar epithelium,Krt8 ADI,AT2 cells,700,2711,0.7856225095487265,-0.780571110780429,-0.0002671563993761894,0.7610416639591664,relax,44,0.09090909090909091,0.6818181818181818,0.2272727272727273,10.0,0.0,0.09462858015666291,weak,0.7628471768940043,0.9710098267566497,True,False,not_kept
alv_epithelium,Alveolar epithelium,Krt8 ADI,Activated AT2 cells,700,788,0.4198604492636857,-0.11671548223865702,-3.9946761487441584e-05,1.6349334419333306,relax,22,0.22727272727272727,0.6363636363636364,0.13636363636363635,10.0,7.0,0.0194721072476535,weak,0.39766608358765465,0.9471387083115338,True,True,mst+local_cheap
alv_epithelium,Alveolar epithelium,Krt8 ADI,AT1 cells,700,38,0.27239176793402586,-0.6470704207772608,-0.00022146477286977273,0.39532370187352583,relax,6,0.3333333333333333,0.16666666666666666,0.5000000000000001,10.0,14.0,0.001910962783999784,weak,0.27758774350247284,1.0190753766416554,True,True,local_cheap
alv_epithelium,Alveolar epithelium,AT1 cells,AT2 cells,38,2711,0.6060583534578392,-0.13350069000316817,-4.569162650641667e-05,0.0,relax,21,0.047619047619047616,0.9047619047619048,0.04761904761904756,14.0,0.0,0.00367590905695265,weak,0.5916390268824921,0.9762080227191748,True,False,not_kept
alv_epithelium,Alveolar epithelium,AT1 cells,Activated AT2 cells,38,788,0.2961525209937295,0.5303549385386038,0.00018151801138233115,0.8416737670285245,climb,10,0.2,0.4,0.4,14.0,7.0,0.007136746457512653,weak,0.27168632790155967,0.9173865108053385,True,False,not_kept
alv_epithelium,Alveolar epithelium,AT1 cells,Krt8 ADI,38,700,0.27758774350247284,0.6470704207772608,0.00022146477286977273,0.41761508241969825,climb,9,0.1111111111111111,0.3333333333333333,0.5555555555555556,14.0,10.0,0.0016290783794895777,weak,0.27239176793402586,0.9812816823110854,True,True,local_cheap
