src,dst,short_src,short_dst,n_src,n_dst,cross_src_to_dst,cross_dst_to_src,knn_k,mixing
AM (PBS),AM (Bleo),AM(PBS),AM(Bleo),1194,3286,3829,3855,16,0.10719866071428572
AM (PBS),M2 macrophages,AM(PBS),Arg1+ M2,1194,2361,324,353,16,0.01190225035161744
AM (PBS),Resolution macrophages,AM(PBS),Mfge8+ Resol.,1194,1935,286,271,16,0.011125759028443592
AM (PBS),Fn1+ macrophages,AM(PBS),Fn1+,1194,247,62,84,16,0.006332408049965302
AM (PBS),Cd163-/Cd11c+ IMs,AM(PBS),IM−,1194,734,60,54,16,0.003695539419087137
AM (PBS),Cd163+/Cd11c- IMs,AM(PBS),IM+,1194,480,115,145,16,0.009707287933094385
AM (Bleo),AM (PBS),AM(Bleo),AM(PBS),3286,1194,3855,3829,16,0.10719866071428572
AM (Bleo),M2 macrophages,AM(Bleo),Arg1+ M2,3286,2361,7598,7642,16,0.16867363201700017
AM (Bleo),Resolution macrophages,AM(Bleo),Mfge8+ Resol.,3286,1935,4354,4406,16,0.10486496839685884
AM (Bleo),Fn1+ macrophages,AM(Bleo),Fn1+,3286,247,388,379,16,0.013568497028021511
AM (Bleo),Cd163-/Cd11c+ IMs,AM(Bleo),IM−,3286,734,615,610,16,0.019045398009950247
AM (Bleo),Cd163+/Cd11c- IMs,AM(Bleo),IM+,3286,480,210,225,16,0.0072191980881571955
M2 macrophages,AM (PBS),Arg1+ M2,AM(PBS),2361,1194,353,324,16,0.01190225035161744
M2 macrophages,AM (Bleo),Arg1+ M2,AM(Bleo),2361,3286,7642,7598,16,0.16867363201700017
M2 macrophages,Resolution macrophages,Arg1+ M2,Mfge8+ Resol.,2361,1935,9574,9602,16,0.2789804469273743
M2 macrophages,Fn1+ macrophages,Arg1+ M2,Fn1+,2361,247,552,567,16,0.02681652607361963
M2 macrophages,Cd163-/Cd11c+ IMs,Arg1+ M2,IM−,2361,734,1361,1356,16,0.05486672051696284
M2 macrophages,Cd163+/Cd11c- IMs,Arg1+ M2,IM+,2361,480,598,627,16,0.026949137627595918
Resolution macrophages,AM (PBS),Mfge8+ Resol.,AM(PBS),1935,1194,271,286,16,0.011125759028443592
Resolution macrophages,AM (Bleo),Mfge8+ Resol.,AM(Bleo),1935,3286,4406,4354,16,0.10486496839685884
Resolution macrophages,M2 macrophages,Mfge8+ Resol.,Arg1+ M2,1935,2361,9602,9574,16,0.2789804469273743
Resolution macrophages,Fn1+ macrophages,Mfge8+ Resol.,Fn1+,1935,247,695,677,16,0.039298808432630616
Resolution macrophages,Cd163-/Cd11c+ IMs,Mfge8+ Resol.,IM−,1935,734,2221,2163,16,0.10266017234919446
Resolution macrophages,Cd163+/Cd11c- IMs,Mfge8+ Resol.,IM+,1935,480,1043,1080,16,0.05494306418219462
Fn1+ macrophages,AM (PBS),Fn1+,AM(PBS),247,1194,84,62,16,0.006332408049965302
Fn1+ macrophages,AM (Bleo),Fn1+,AM(Bleo),247,3286,379,388,16,0.013568497028021511
Fn1+ macrophages,M2 macrophages,Fn1+,Arg1+ M2,247,2361,567,552,16,0.02681652607361963
Fn1+ macrophages,Resolution macrophages,Fn1+,Mfge8+ Resol.,247,1935,677,695,16,0.039298808432630616
Fn1+ macrophages,Cd163-/Cd11c+ IMs,Fn1+,IM−,247,734,419,405,16,0.052497451580020386
Fn1+ macrophages,Cd163+/Cd11c- IMs,Fn1+,IM+,247,480,361,367,16,0.06258596973865199
Cd163-/Cd11c+ IMs,AM (PBS),IM−,AM(PBS),734,1194,54,60,16,0.003695539419087137
Cd163-/Cd11c+ IMs,AM (Bleo),IM−,AM(Bleo),734,3286,610,615,16,0.019045398009950247
Cd163-/Cd11c+ IMs,M2 macrophages,IM−,Arg1+ M2,734,2361,1356,1361,16,0.05486672051696284
Cd163-/Cd11c+ IMs,Resolution macrophages,IM−,Mfge8+ Resol.,734,1935,2163,2221,16,0.10266017234919446
Cd163-/Cd11c+ IMs,Fn1+ macrophages,IM−,Fn1+,734,247,405,419,16,0.052497451580020386
Cd163-/Cd11c+ IMs,Cd163+/Cd11c- IMs,IM−,IM+,734,480,1758,1751,16,0.1806528006589786
Cd163+/Cd11c- IMs,AM (PBS),IM+,AM(PBS),480,1194,145,115,16,0.009707287933094385
Cd163+/Cd11c- IMs,AM (Bleo),IM+,AM(Bleo),480,3286,225,210,16,0.0072191980881571955
Cd163+/Cd11c- IMs,M2 macrophages,IM+,Arg1+ M2,480,2361,627,598,16,0.026949137627595918
Cd163+/Cd11c- IMs,Resolution macrophages,IM+,Mfge8+ Resol.,480,1935,1080,1043,16,0.05494306418219462
Cd163+/Cd11c- IMs,Fn1+ macrophages,IM+,Fn1+,480,247,367,361,16,0.06258596973865199
Cd163+/Cd11c- IMs,Cd163-/Cd11c+ IMs,IM+,IM−,480,734,1751,1758,16,0.1806528006589786
