,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC
Atf3,0.5031858237101425,0.6344190608749084,1.2387680041864129,0.4943264023498985,0.6144586707327031,0.5329019816640054,0.5405115251825972,0.7215091380525304,0.5989030397153583
Snhg11,0.3831756871007104,0.379726737640122,2.9357648522506365,0.3878190032355096,0.35292572072783024,0.34263257675784964,0.35544874983155134,0.441461214581441,0.3931306155361108
Car3,0.13947030595530532,0.22850618997236322,0.21169378617639364,0.1320212136133129,0.20579945599299,0.1638693291701039,0.17777503894954652,0.207653287679624,0.1837319091679015
Sprr1a,0.5074250340013626,0.7813283065882729,1.3039009762854579,0.5882639247896947,0.7313778816996626,0.56714666680208,0.5260325567568357,0.7612723378329987,0.6424222014809915
S100a11,1.294401177446847,1.33641565442556,2.72785235217731,1.0060773036472608,1.2101488716731466,1.0872765003533826,1.05730041186532,2.726163592901886,1.524976206541645
Ttll7,1.6424738001985464,1.7889868648171594,3.8237048929844795,1.7393668250458825,1.6845386274969174,1.6955973809062796,1.8207920884159452,1.8872816664928003,1.793719466803193
Plin2,0.3610760649282418,0.5135667699102788,0.9802345636349422,0.3305409582325405,0.4209012743465245,0.3160708332896481,0.4813801943544972,0.4904079437498865,0.3806517779535218
Trnp1,1.0573177313413944,1.1355009196149182,2.962075885881178,1.1229226682344768,1.0372500405582663,1.0509995318536198,0.9761035312016043,1.256562147690021,1.0941376306857389
Vgf,0.4336920992814588,0.5424583483598796,1.605942410628669,0.4490716536789924,0.5101137927516498,0.4604661238805532,0.49860769640242547,0.5908958038110572,0.49930382682105495
Npy,0.8756199696012242,1.247658783123763,0.9292686926753637,0.9290310393460922,1.193959069318311,0.9690766653318102,0.911026077035149,1.114433712015223,1.0650134881685998
Kif22,0.4808932734762073,0.6113227884566441,1.6103046752084065,0.5596353323494696,0.5816960325619183,0.4998526571793472,0.49227739103474044,0.6012487953689604,0.5536412419892695
Akap12,1.0247681632234351,0.9395380496170742,2.906204423022164,0.878354161946969,0.9653660542212164,0.9278925432592452,1.0339539390998491,1.0764520974237093,0.9888307887665453
Nts,0.6018434736248964,0.8145688206961655,1.0830611807534962,0.608419281518298,0.786621697154564,0.6496547973853011,0.6596797257636543,0.6894271100504372,0.7179643330099742
