gene,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC,log1p_diff,pval_adj,mean_late,mean_control,best_celltype
2010005H15Rik,-0.021319195913666867,0.010439680884281809,0.02799861456245158,-0.011495528257527041,0.01931915570321482,-0.02895413413951474,-0.024981608679060793,0.006867785387541273,0.0027831159572065237,0.12505841038902912,2.3491337424128584e-210,0.13200674477349164,0.006948334384462524,Schwann
Ahi1,-0.09268936841914013,-0.17421543599056064,0.6959891104356918,-0.06720417185172475,-0.13291630062074522,-0.11291986611244716,-0.13336397460152336,-0.09976036438536597,-0.0802164224161567,-0.39959740386246223,1.1912073102046632e-220,0.3304730980634477,0.7300705019259099,Neuron
Akap12,-0.06858498717817704,-0.15159500090640618,0.7540180444977244,-0.07065000576167861,-0.20731979419682656,-0.18227504879736922,-0.09356124654221715,-0.058522123199486145,-0.06484141346088627,-0.6103530965869932,0.0,1.1612305983753464,1.7715836949623396,Neuron
Asap1,-0.08381129057806044,-0.11854528492480806,0.7036497041896755,-0.05783540097130763,-0.21707803615944726,-0.17905690104531424,-0.06841555698897381,-0.03946982873187238,-0.06086344679671468,-0.47871498370744714,1.2484719192152754e-223,0.7854086746609767,1.2641236583684239,Neuron
Aspscr1,-0.0691375039008798,-0.03416040801663887,0.3885870388295791,-0.04275565172336327,-0.07292629967933068,-0.12978946806104197,-0.07989634309440671,-0.02126957349828953,-0.035775563982645864,0.7232305253056297,0.0,1.0273550530517876,0.3041245277461579,Neuron
Atf3,-0.05455051104275709,-0.032602237936442735,0.2938700437548279,-0.03914460809397096,-0.06143117079581124,-0.09293893874004791,-0.06259253335790742,0.0047016927882390855,-0.024127566606138573,0.791454370253229,0.0,0.8647987115894589,0.07334434133622987,Neuron
Bex3,-0.08495897590579884,-0.1395902434818268,0.7590431805494412,-0.05442362823795263,-0.19746914712874203,-0.18713836144828558,-0.10278198722936946,-0.0782658923569707,-0.06600241661720778,-0.6205998608963645,7.288502120650389e-265,1.0815416342064446,1.702141495102809,Neuron
Car1,-0.01569218383714528,0.007888915079663397,0.03222753819554822,0.032978240958166656,0.009137571519323274,-0.03387229123700246,-0.018275332644724328,-0.006257978151552907,-0.00563944716907832,0.11970754607246042,3.2678491870780554e-203,0.12431069793455267,0.004603151862092248,Schwann
Car3,-0.032295631127212225,0.034873380923987264,0.021174673889571356,-0.025227002696544782,0.01742107851527595,-0.035704516010613106,-0.01358024829505262,0.008310667570974914,-0.005155787055869542,0.36234206279668824,0.0,0.37910953876050135,0.016767475963813117,Schwann
Cd55,-0.07797661793019295,-0.11165909080767017,0.6087502944827073,-0.05219914350779683,-0.18381309385875252,-0.09403674217090677,-0.11340981459614735,-0.0471664577031468,-0.05993993613613201,-0.5621156576145013,2.842637158143118e-223,0.6288752571420163,1.1909909147565176,Neuron
Chl1,-0.08686549971564748,-0.13615695275581435,0.5190090011709672,-0.06703177147197897,0.04098996256367034,-0.1897998533724323,-0.12555033447569214,-0.08097404167034057,-0.07526861578300599,0.35887272188550307,2.0898878486844705e-207,0.7002977711692333,0.34142504928373024,Neuron
Chst2,-0.06267880181310737,-0.07716284340484203,0.4016109934979205,-0.0468971297777579,-0.13495114575745962,-0.05864453205961194,-0.03751793143189712,-0.034459378032262615,-0.03939114595101239,0.28996363455347984,3.8952667234335016e-210,0.48739451938385114,0.1974308848303713,Neuron
Ctla2a,-0.06874123752836696,-0.057403645824516264,-0.09746280537607341,-0.043132419259426354,-0.1487589648997055,-0.12877853563328803,0.7347427081716299,-0.06264581156244863,-0.049898028928330784,0.28249134620218164,0.0,0.4117795822085998,0.12928823600641817,VEC
Dgkh,-0.0947160419238344,-0.14361536227017163,0.8151172467999528,-0.06392307025899857,-0.2463222918650798,-0.18931661757274357,-0.09193548402235197,-0.06528081634775415,-0.06953193410321996,-0.670673012810417,3.100399450320415e-282,1.0867459611078718,1.7574189739182888,Neuron
Etv1,-0.000804391180444455,-0.07533257002260214,0.3360566859944628,-0.04188527594557515,-0.06439594283461908,-0.1092766189432738,-0.057532267952123434,-0.018587471473313417,-0.03313437424776863,-0.38648374103896854,1.679689918930474e-295,0.6951671884062798,1.0816509294452483,Neuron
Fst,-0.03369954038447204,-0.010344985641455848,0.16428529573787803,-0.023583497992524894,-0.032546053885218834,-0.06509995293171504,-0.02168407489643274,-0.00821433252819839,-0.007995400760053882,0.2850669406755767,0.0,0.33043978526096435,0.045372844585387664,Neuron
Fxyd2,-0.0767245292823664,-0.10887122606065969,0.687134968614714,-0.03440053606563354,-0.1852292550726624,-0.15638633607136565,-0.15430182168206372,-0.04482475157940183,-0.05091201676489341,-0.9296391599003386,0.0,2.4498461270215226,3.3794852869218612,Neuron
Gal,-0.057258577934486375,0.001320148969333765,0.23860179980257007,-0.028313333014901854,-0.017708948491898954,-0.10426158491836511,-0.07863388504998692,-0.004367868064516934,-0.020609761006732112,1.6100509739758324,0.0,1.8394156474903498,0.22936467351451734,Neuron
Gap43,-0.08979003510915348,-0.05851825038403198,0.5554084299599731,-0.046964268543795804,-0.13104682082433083,-0.168284587040057,-0.0986141847626969,-0.0316554486640056,-0.051416736167987975,0.7489632543799984,0.0,2.438424819854677,1.6894615654746785,Neuron
