neuron_subtype,condition,n_cells,U0_mean,U_rel_mean
Myelinated,Control,290,-0.23252006877085254,0.5312092909844817
Myelinated,SNI 6h,268,-0.23259206360845422,0.46653576822440546
Myelinated,SNI 24h,182,-0.2330113433219574,0.08989353945625729
Myelinated,SNI 2d,155,-0.23341353497197548,-0.27139834893269493
Myelinated,SNI 7d,197,-0.2330396572496685,0.06445891790210356
Myelinated,SNI 14d,171,-0.23290599778033136,0.18452625912041956
Non_peptidergic,Control,641,-0.23203829230737757,0.9639928364966789
Non_peptidergic,SNI 6h,249,-0.23213468120998165,0.8774059353514172
Non_peptidergic,SNI 24h,195,-0.23241468553359687,0.6258758729260211
Non_peptidergic,SNI 2d,96,-0.23256420902907846,0.4915577535950431
Non_peptidergic,SNI 7d,266,-0.2326224958314035,0.4391982655767855
Non_peptidergic,SNI 14d,255,-0.23253030665949276,0.5220125159649832
Peptidergic,Control,527,-0.23230243277730703,0.7267133972629958
Peptidergic,SNI 6h,403,-0.2324819000571892,0.565496543432892
Peptidergic,SNI 24h,332,-0.23289230236985592,0.19682895290509766
Peptidergic,SNI 2d,212,-0.23297654830341066,0.1211501753329962
Peptidergic,SNI 7d,292,-0.23299861969809005,0.10132326977008539
Peptidergic,SNI 14d,260,-0.2328423003737743,0.24174613501653472
SNI-induced,Control,1,-0.2357257604598999,-2.348488494577727
SNI-induced,SNI 6h,7,-0.234372398683003,-1.1327530808103776
SNI-induced,SNI 24h,154,-0.2337581041184338,-0.5809274940527193
SNI-induced,SNI 2d,342,-0.23503598030547646,-1.7288536151523268
SNI-induced,SNI 7d,598,-0.23515785517899881,-1.8383347622623722
SNI-induced,SNI 14d,373,-0.23477438240044873,-1.4938581817518328
