gene,protocol,mean_delta_U,wilcoxon_p,bootstrap_p,mean_U_WT,mean_U_pert,frac_escape_q05,frac_escape_q10,frac_escape_q15,frac_escape_q20,frac_escape_q25,frac_escape_q30
FOXC2,latent_delta_shift,0.00047257181722670794,1.001984560551836e-185,0.001996007984031936,-0.022760603576898575,-0.02228803001344204,0.8274021352313167,0.645017793594306,0.44395017793594305,0.25533807829181493,0.13256227758007116,0.06316725978647687
IL13,latent_delta_shift,0.0010929623385891318,1.0019809905590626e-185,0.001996007984031936,-0.022760603576898575,-0.021667640656232834,0.9386120996441281,0.8656583629893239,0.7775800711743772,0.6797153024911032,0.5569395017793595,0.445729537366548
AEBP1,latent_delta_shift,-0.0010002595372498035,1.0,1.0,-0.022760603576898575,-0.02376086264848709,0.04715302491103203,0.0026690391459074734,0.0,0.0,0.0,0.0
IGHV3-30,latent_delta_shift,0.003142989007756114,1.0019832218029414e-185,0.001996007984031936,-0.022760603576898575,-0.019617615267634392,0.998220640569395,0.99644128113879,0.9902135231316725,0.9857651245551602,0.9795373665480427,0.9741992882562278
CCL8,latent_delta_shift,0.0009602759964764118,1.0019783130729435e-185,0.001996007984031936,-0.022760603576898575,-0.0218003261834383,0.9217081850533808,0.8336298932384342,0.7286476868327402,0.5951957295373665,0.4626334519572954,0.3505338078291815
SERPINB3,latent_delta_shift,0.0014433326432481408,1.0019809905590626e-185,0.001996007984031936,-0.022760603576898575,-0.021317269653081894,0.9653024911032029,0.9288256227758007,0.8798932384341637,0.806049822064057,0.7375444839857651,0.6690391459074733
GEM,latent_delta_shift,-0.0011865749256685376,1.0,1.0,-0.022760603576898575,-0.023947177454829216,0.017793594306049824,0.0,0.0,0.0,0.0,0.0
LY6K,latent_delta_shift,-0.000876341771800071,1.0,1.0,-0.022760603576898575,-0.023636944591999054,0.0800711743772242,0.0071174377224199285,0.0008896797153024911,0.0,0.0,0.0
OTUD1,latent_delta_shift,-0.0001914895692607388,1.0,1.0,-0.022760603576898575,-0.022952092811465263,0.50355871886121,0.18772241992882563,0.05604982206405694,0.01601423487544484,0.0035587188612099642,0.0008896797153024911
CDC42EP1,latent_delta_shift,-0.00015609980619046837,1.0,1.0,-0.022760603576898575,-0.022916702553629875,0.5329181494661922,0.21708185053380782,0.06494661921708185,0.017793594306049824,0.005338078291814947,0.0017793594306049821
F2RL3,latent_delta_shift,-6.93765323376283e-05,1.0,1.0,-0.022760603576898575,-0.02282997965812683,0.5871886120996441,0.26601423487544484,0.09519572953736655,0.030249110320284697,0.009786476868327402,0.0026690391459074734
DERL3,latent_delta_shift,0.0014094710350036621,1.0019787593201527e-185,0.001996007984031936,-0.022760603576898575,-0.021351132541894913,0.9617437722419929,0.9208185053380783,0.8709964412811388,0.7953736654804271,0.7259786476868327,0.6494661921708185
HBA1,latent_delta_shift,0.000463650532765314,1.0019751893480477e-185,0.001996007984031936,-0.022760603576898575,-0.022296953946352005,0.8256227758007118,0.6405693950177936,0.4412811387900356,0.2491103202846975,0.13167259786476868,0.06316725978647687
CTSE,latent_delta_shift,-0.0006521755713038146,1.0,1.0,-0.022760603576898575,-0.023412777110934258,0.19128113879003558,0.030249110320284697,0.0035587188612099642,0.0,0.0,0.0
LINC01133,latent_delta_shift,-0.00018173232092522085,1.0,1.0,-0.022760603576898575,-0.02294233627617359,0.5106761565836299,0.19483985765124556,0.05693950177935943,0.017793594306049824,0.004448398576512456,0.0008896797153024911
SCGB2A1,latent_delta_shift,0.0043336208909749985,1.0019818830560067e-185,0.001996007984031936,-0.022760603576898575,-0.018426980823278427,1.0,0.9991103202846975,0.9991103202846975,0.998220640569395,0.998220640569395,0.998220640569395
ZNF503,latent_delta_shift,0.0011304276995360851,1.0019738506117885e-185,0.001996007984031936,-0.022760603576898575,-0.021630175411701202,0.9430604982206405,0.8754448398576512,0.7873665480427047,0.6966192170818505,0.5809608540925267,0.4626334519572954
GJB2,latent_delta_shift,0.0004185947182122618,1.0019742968570094e-185,0.001996007984031936,-0.022760603576898575,-0.022342007607221603,0.8016014234875445,0.608540925266904,0.4101423487544484,0.22686832740213522,0.11387900355871886,0.054270462633451956
PYDC1,latent_delta_shift,0.0018328108126297593,1.0019769743325672e-185,0.001996007984031936,-0.022760603576898575,-0.02092779241502285,0.9768683274021353,0.9599644128113879,0.9359430604982206,0.8985765124555161,0.8629893238434164,0.8193950177935944
AC084809.3,latent_delta_shift,0.001869127037934959,1.0019729581219992e-185,0.001996007984031936,-0.022760603576898575,-0.020891474559903145,0.9786476868327402,0.9635231316725978,0.9412811387900356,0.9048042704626335,0.8692170818505338,0.8309608540925267
