ligand,receptor,ligand_mean_sender,receptor_mean_receiver,lr_score,band
COL1A1,ITGB1,2.650273192947949,0.8134387952815808,2.1558350332386484,highU
FN1,ITGB1,1.0939790573467316,0.8134387952815808,0.8898850064714048,highU
FN1,ITGAV,1.0939790573467316,0.24945258239144957,0.2728959009373059,highU
IL6,IL6ST,0.9268427647902051,0.2685450067829831,0.24889899655734443,highU
LIF,IL6ST,0.44630996987342125,0.2685450067829831,0.11985431388697089,highU
CXCL12,CXCR4,0.865264026777704,0.06634629240716904,0.057407060129998085,highU
HGF,MET,0.20217703125822853,0.1194170360781544,0.024143381835938026,highU
IL11,IL11RA,0.3496750667765292,0.04723405035948414,0.01651656971357856,highU
COL1A1,ITGB1,3.039819029968965,0.8134387952815808,2.4727067296119785,lowU
FN1,ITGB1,1.5027299589712624,0.8134387952815808,1.222378847459123,lowU
FN1,ITGAV,1.5027299589712624,0.24945258239144957,0.3748598689023785,lowU
IL6,IL6ST,0.842049188200925,0.2685450067829831,0.22612810495702282,lowU
LIF,IL6ST,0.42346302955365084,0.2685450067829831,0.11371888214382773,lowU
CXCL12,CXCR4,0.7183714443540005,0.06634629240716904,0.047661281904070874,lowU
HGF,MET,0.09101012090654306,0.1194170360781544,0.010868158891773847,lowU
IL11,IL11RA,0.16953457416466644,0.04723405035948414,0.008007804613767553,lowU
